Fiscal_Year,Amount
2020,100000
2020,15500
2020,456600
2020,619400
2020,900
2020,246000
2020,28300
2020,0
2020,0
2020,0
2020,0
2020,5000
2020,35000
2020,0
2020,50000
2020,16800
2020,25000
2020,10000
2020,0
2020,2622400
2020,0
2020,20000
2020,60000
2020,0
2020,0
2020,1850900
2020,0
2020,0
2020,0
2020,0
2020,10000
2020,254200
2020,0
2020,919000
2020,113900
2020,877000
2020,333500
2020,261000
2020,160100
2020,0
2020,0
2020,150000
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,111000
2020,0
2020,200000
2020,294000
2020,117300
2020,5000
2020,-1080000
2020,4157100
2020,-4157100
2020,3616700
2020,1682900
2020,-1682900
2020,1221500
2020,10193400
2020,-3152300
2020,540000
2020,2430300
2020,150000
2020,32000
2020,930000
2020,-4000000
2020,0
2020,4000000
2020,17030300
2020,-17030300
2020,12282600
2020,22266000
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,-4911000
2020,0
2020,0
2020,0
2020,0
2020,3249700
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,577500
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,200
2020,1800
2020,47100
2020,7400
2020,22000
2020,100
2020,8200
2020,1100
2020,3300
2020,0
2020,0
2020,2700
2020,7800
2020,0
2020,0
2020,24400
2020,16600
2020,0
2020,0
2020,6400
2020,200
2020,100
2020,0
2020,600
2020,0
2020,181300
2020,136000
2020,0
2020,50200
2020,200
2020,1700
2020,100
2020,23600
2020,600
2020,100
2020,1500
2020,100
2020,100
2020,17600
2020,57200
2020,0
2020,43200
2020,131700
2020,0
2020,230800
2020,468500
2020,0
2020,7700
2020,41200
2020,14000
2020,5000
2020,0
2020,3400
2020,0
2020,154800
2020,17969000
2020,209600
2020,1292100
2020,0
2020,0
2020,28900
2020,16900
2020,100
2020,37500
2020,72100
2020,100
2020,5900
2020,100
2020,0
2020,100
2020,1400
2020,400
2020,2800
2020,300
2020,2300
2020,2100
2020,1800
2020,300
2020,100
2020,200
2020,0
2020,5000
2020,100
2020,0
2020,100
2020,226600
2020,25300
2020,0
2020,556200
2020,57500
2020,0
2020,2725200
2020,171200
2020,0
2020,0
2020,22700
2020,300
2020,2000
2020,200
2020,500
2020,8000
2020,159500
2020,18584600
2020,195600
2020,630900
2020,79300
2020,0
2020,0
2020,29800
2020,14700
2020,5300
2020,6700
2020,67300
2020,400
2020,5600
2020,0
2020,200
2020,2000
2020,500
2020,200
2020,1500
2020,2000
2020,2600
2020,1500
2020,200
2020,100
2020,200
2020,5000
2020,4200
2020,100
2020,0
2020,200
2020,189200
2020,22000
2020,0
2020,464400
2020,50000
2020,200
2020,0
2020,2219200
2020,145400
2020,0
2020,0
2020,25600
2020,400
2020,1500
2020,100
2020,500
2020,200
2020,0
2020,0
2020,0
2020,0
2020,300
2020,300
2020,6600
2020,19800
2020,0
2020,16200
2020,46800
2020,0
2020,246000
2020,10200
2020,6500
2020,0
2020,0
2020,15000
2020,0
2020,8600
2020,1000
2020,1000
2020,1500
2020,14800
2020,41400
2020,33100
2020,17400
2020,12000
2020,3800
2020,0
2020,721700
2020,653300
2020,200
2020,1392200
2020,0
2020,8000
2020,11800
2020,0
2020,1000
2020,800
2020,600
2020,8000
2020,0
2020,0
2020,14000
2020,100
2020,300
2020,6300
2020,2300
2020,25000
2020,5000
2020,100
2020,5700
2020,0
2020,69600
2020,200
2020,6500
2020,0
2020,800
2020,1000
2020,300
2020,9000
2020,400
2020,100
2020,500
2020,3500
2020,1200
2020,1400
2020,200
2020,1600
2020,200
2020,2400
2020,8000
2020,200
2020,200
2020,198000
2020,12100
2020,0
2020,486000
2020,27500
2020,0
2020,2297700
2020,80000
2020,0
2020,0
2020,0
2020,0
2020,1400
2020,0
2020,29400
2020,500
2020,800
2020,300
2020,600
2020,1000
2020,0
2020,0
2020,0
2020,0
2020,500
2020,1000
2020,200
2020,3400
2020,0
2020,200
2020,1000
2020,200
2020,242300
2020,0
2020,176700
2020,0
2020,258000
2020,0
2020,4800
2020,0
2020,0
2020,2500
2020,300
2020,3400
2020,900
2020,3200
2020,1000
2020,0
2020,0
2020,332200
2020,0
2020,1867500
2020,4109500
2020,0
2020,0
2020,400
2020,11700
2020,11500
2020,0
2020,0
2020,0
2020,900
2020,600
2020,0
2020,4100
2020,300
2020,13000
2020,51300
2020,81400
2020,0
2020,0
2020,290000
2020,700
2020,13500
2020,400
2020,1200
2020,6200
2020,100
2020,200
2020,3300
2020,2200
2020,7800
2020,5000
2020,66600
2020,18200
2020,0
2020,0
2020,800
2020,500
2020,200
2020,3000
2020,1300
2020,3500
2020,0
2020,2400
2020,346200
2020,18500
2020,21699700
2020,0
2020,219200
2020,1200
2020,1516600
2020,400
2020,22400
2020,0
2020,5000
2020,100
2020,195800
2020,17600
2020,0
2020,480600
2020,40000
2020,0
2020,2342400
2020,115100
2020,0
2020,0
2020,33900
2020,700
2020,1000
2020,500
2020,400
2020,700
2020,0
2020,0
2020,0
2020,0
2020,200
2020,0
2020,500
2020,2990.75
2020,0
2020,346200
2020,18684300
2020,257400
2020,935200
2020,0
2020,24100
2020,3500
2020,700
2020,3800
2020,600
2020,7200
2020,74800
2020,25000
2020,0
2020,4900
2020,0
2020,300
2020,1400
2020,600
2020,2500
2020,100
2020,300
2020,1500
2020,3900
2020,2200
2020,1900
2020,400
2020,500
2020,200
2020,100
2020,0
2020,6000
2020,100
2020,0
2020,200
2020,210100
2020,29700
2020,0
2020,506400
2020,67500
2020,0
2020,2529800
2020,199300
2020,0
2020,0
2020,9000
2020,700
2020,2100
2020,3000
2020,2300
2020,200
2020,100
2020,200
2020,0
2020,6000
2020,100
2020,0
2020,0
2020,100
2020,222200
2020,24200
2020,0
2020,525400
2020,55000
2020,0
2020,2713900
2020,155800
2020,0
2020,0
2020,0
2020,40200
2020,800
2020,2000
2020,600
2020,0
2020,300
2020,0
2020,0
2020,0
2020,18000
2020,0
2020,0
2020,0
2020,2200
2020,3000
2020,13600
2020,0
2020,0
2020,186700
2020,22047100
2020,339800
2020,1282800
2020,0
2020,24000
2020,3400
2020,55000
2020,0
2020,81300
2020,300
2020,200
2020,0
2020,6000
2020,8500
2020,0
2020,40000
2020,600
2020,2100
2020,200
2020,21000
2020,800
2020,600
2020,0
2020,0
2020,0
2020,0
2020,0
2020,400
2020,500
2020,2200
2020,0
2020,154800
2020,20328500
2020,336100
2020,1671900
2020,0
2020,26000
2020,7500
2020,116000
2020,83800
2020,500
2020,6300
2020,0
2020,0
2020,1700
2020,400
2020,1500
2020,0
2020,1000
2020,7700
2020,700
2020,0
2020,1500
2020,200
2020,0
2020,0
2020,3000
2020,9800
2020,200
2020,0
2020,0
2020,100
2020,239800
2020,36300
2020,0
2020,0
2020,2000
2020,-187000
2020,0
2020,186700
2020,29778000
2020,400
2020,409500
2020,100
2020,900
2020,88000
2020,100
2020,600
2020,727700
2020,249700
2020,16000
2020,73800
2020,1900
2020,79900
2020,78700
2020,800
2020,6200
2020,0
2020,1800
2020,4000
2020,200
2020,200
2020,1900
2020,19000
2020,7700
2020,9900
2020,22200
2020,0
2020,2500
2020,17400
2020,1300
2020,0
2020,82200
2020,47600
2020,1800
2020,300
2020,0
2020,10500
2020,1000
2020,1700
2020,34100
2020,5500
2020,0
2020,80600
2020,12500
2020,0
2020,453200
2020,30600
2020,0
2020,0
2020,0
2020,0
2020,22500
2020,0
2020,200
2020,300
2020,4000
2020,588600
2020,500
2020,82500
2020,3000
2020,600
2020,38500
2020,0
2020,600
2020,0
2020,3900
2020,7800
2020,2832700
2020,500
2020,200
2020,240000
2020,600
2020,100
2020,0
2020,200
2020,0
2020,0
2020,1200
2020,0
2020,32000
2020,500
2020,1100
2020,200
2020,1500
2020,1000
2020,0
2020,0
2020,0
2020,0
2020,1200
2020,4500
2020,2300
2020,0
2020,341500
2020,23065700
2020,187400
2020,2290600
2020,0
2020,0
2020,0
2020,0
2020,30400
2020,4600
2020,91200
2020,0
2020,96900
2020,100
2020,7700
2020,0
2020,500
2020,2100
2020,300
2020,7200
2020,100
2020,1600
2020,3900
2020,1700
2020,1000
2020,200
2020,200
2020,1500
2020,200
2020,0
2020,100
2020,0
2020,590500
2020,9000
2020,0
2020,87500
2020,800
2020,0
2020,100
2020,202000
2020,0
2020,100
2020,267300
2020,2856200
2020,297000
2020,3100
2020,263200
2020,18700
2020,1800
2020,0
2020,0
2020,0
2020,32300
2020,200
2020,2200
2020,500
2020,200
2020,300
2020,0
2020,0
2020,0
2020,0
2020,0
2020,200
2020,100
2020,3100
2020,0
2020,340800
2020,23321000
2020,174600
2020,2515600
2020,0
2020,0
2020,23800
2020,14700
2020,50700
2020,0
2020,90900
2020,6000
2020,0
2020,0
2020,500
2020,1000
2020,100
2020,0
2020,0
2020,100
2020,702900
2020,44100
2020,1200
2020,0
2020,0
2020,3710600
2020,1900
2020,3200
2020,3400
2020,20000
2020,200
2020,200
2020,2000
2020,0
2020,200
2020,7700
2020,8800
2020,0
2020,18200
2020,20800
2020,0
2020,111500
2020,105600
2020,0
2020,0
2020,4500
2020,1300
2020,2200
2020,300
2020,2500
2020,1500
2020,600
2020,727500
2020,884400
2020,223600
2020,0
2020,0
2020,0
2020,0
2020,116100
2020,14400
2020,0
2020,12000
2020,0
2020,0
2020,20400
2020,40500
2020,1100
2020,2100
2020,600
2020,158400
2020,0
2020,17400
2020,3000
2020,0
2020,0
2020,0
2020,0
2020,187000
2020,0
2020,0
2020,9300
2020,3300
2020,7900
2020,-203600
2020,0
2020,186700
2020,3471000
2020,283000
2020,50200
2020,61100
2020,0
2020,10300
2020,7800
2020,500
2020,100
2020,25900
2020,0
2020,0
2020,140900
2020,400
2020,2500
2020,28900
2020,800
2020,1700
2020,3000
2020,0
2020,1700
2020,15300
2020,500
2020,1500
2020,1500
2020,12100
2020,100
2020,0
2020,50300
2020,95500
2020,0
2020,3300
2020,1100
2020,7800
2020,2600
2020,61700
2020,8200
2020,26900
2020,200
2020,114300
2020,500
2020,600
2020,16200
2020,47700
2020,81400
2020,15400
2020,0
2020,0
2020,-10000
2020,-286000
2020,172600
2020,4800
2020,3627600
2020,144600
2020,307000
2020,23400
2020,12300
2020,15500
2020,1100
2020,0
2020,250000
2020,100
2020,11200
2020,500
2020,900
2020,3800
2020,4000
2020,600
2020,12000
2020,700
2020,800
2020,1400
2020,1100
2020,500
2020,2000
2020,32500
2020,99000
2020,0
2020,0
2020,225000
2020,0
2020,0
2020,0
2020,623200
2020,0
2020,119400
2020,55000
2020,16500
2020,0
2020,0
2020,0
2020,1000
2020,13700
2020,25900
2020,13200
2020,0
2020,2500
2020,0
2020,-40000
2020,18000
2020,0
2020,8400
2020,68000
2020,-850000
2020,31200
2020,11400
2020,200
2020,0
2020,0
2020,30000
2020,-4133800
2020,0
2020,54500
2020,-15000
2020,19900
2020,0
2020,9300
2020,-36300
2020,124000
2020,7600
2020,600
2020,-950000
2020,700
2020,140400
2020,0
2020,0
2020,1500
2020,4200
2020,1000
2020,6049000
2020,0
2020,900
2020,1100
2020,112400
2020,0
2020,400
2020,0
2020,4400
2020,4700
2020,42900
2020,1500
2020,41900
2020,2600
2020,500
2020,1100
2020,600
2020,0
2020,0
2020,1300
2020,54400
2020,34100
2020,153000
2020,0
2020,0
2020,0
2020,81200
2020,347500
2020,0
2020,0
2020,480800
2020,1049400
2020,0
2020,0
2020,0
2020,0
2020,65300
2020,56700
2020,64800
2020,0
2020,261700
2020,3507000
2020,8779000
2020,498300
2020,637000
2020,0
2020,0
2020,63100
2020,4400
2020,28000
2020,1900
2020,0
2020,72100
2020,3100
2020,2200
2020,5000
2020,10000
2020,0
2020,16600
2020,2600
2020,144300
2020,4100
2020,40100
2020,3700
2020,8800
2020,453400
2020,500
2020,0
2020,0
2020,0
2020,200
2020,1000
2020,600
2020,3200
2020,86300
2020,5300
2020,300
2020,1400
2020,200
2020,500
2020,0
2020,500
2020,8500
2020,2400
2020,600
2020,1000
2020,1300
2020,3000
2020,800
2020,1100
2020,0
2020,2500
2020,0
2020,3900
2020,0
2020,104900
2020,209700
2020,314500
2020,0
2020,0
2020,0
2020,50200
2020,0
2020,100
2020,8800
2020,644500
2020,0
2020,0
2020,393000
2020,0
2020,0
2020,2200
2020,1100
2020,5200
2020,2500
2020,45100
2020,8800
2020,4500
2020,0
2020,73700
2020,20800
2020,900
2020,0
2020,500
2020,0
2020,300
2020,0
2020,0
2020,100
2020,2000
2020,6300
2020,4300
2020,100
2020,400
2020,100
2020,0
2020,35200
2020,0
2020,83200
2020,0
2020,278000
2020,0
2020,0
2020,11300
2020,300
2020,10400
2020,400
2020,0
2020,5300
2020,18200
2020,383300
2020,2279200
2020,50200
2020,6000
2020,0
2020,0
2020,30600
2020,2000
2020,3000
2020,81600
2020,300
2020,300
2020,600
2020,3900
2020,-77400
2020,0
2020,1000
2020,261000
2020,0
2020,0
2020,1300
2020,100
2020,700
2020,0
2020,6600
2020,0
2020,15000
2020,0
2020,64500
2020,0
2020,0
2020,0
2020,3400
2020,200
2020,0
2020,0
2020,0
2020,4600
2020,366800
2020,237100
2020,0
2020,3400
2020,0
2020,9800
2020,6000
2020,0
2020,3800
2020,0
2020,400
2020,15200
2020,4400
2020,65798.76
2020,600
2020,1000
2020,1000
2020,400
2020,4300
2020,440400
2020,281700
2020,52300
2020,0
2020,0
2020,0
2020,100
2020,700
2020,600
2020,15000
2020,800
2020,2200
2020,100
2020,700
2020,2900
2020,0
2020,110000
2020,0
2020,253600
2020,0
2020,879500
2020,0
2020,0
2020,10000
2020,13800
2020,100
2020,0
2020,8700
2020,15600
2020,39600
2020,346300
2020,1602500
2020,6647900
2020,8600
2020,48200
2020,4700
2020,1200
2020,130500
2020,10600
2020,600
2020,100
2020,2200
2020,5200
2020,42400
2020,500
2020,100
2020,260800
2020,94900
2020,200
2020,100
2020,6900
2020,0
2020,1400
2020,1100
2020,0
2020,22000
2020,0
2020,0
2020,52000
2020,0
2020,156700
2020,0
2020,0
2020,13300
2020,200
2020,4000
2020,19700
2020,120600
2020,9900
2020,6000
2020,172600
2020,1412100
2020,0
2020,9200
2020,0
2020,200
2020,300
2020,200
2020,1700
2020,3000
2020,3000
2020,300
2020,100
2020,300
2020,6000
2020,0
2020,100
2020,0
2020,2000
2020,1800
2020,4100
2020,3700
2020,1800
2020,800
2020,100
2020,1200
2020,100
2020,61600
2020,0
2020,140000
2020,0
2020,412700
2020,0
2020,500
2020,2600
2020,0
2020,2000
2020,500
2020,14700
2020,9900
2020,400
2020,3500
2020,28300
2020,0
2020,3200
2020,5500
2020,106900
2020,86300
2020,0
2020,500
2020,4200
2020,123700
2020,4000
2020,5300
2020,202000
2020,599900
2020,3000
2020,0
2020,22500
2020,200
2020,136700
2020,20900
2020,251800
2020,0
2020,2000
2020,300
2020,0
2020,390100
2020,3000
2020,100
2020,0
2020,0
2020,0
2020,10400
2020,5000
2020,50200
2020,1100
2020,0
2020,100
2020,0
2020,0
2020,1200
2020,36800
2020,100
2020,1400
2020,200
2020,400
2020,200
2020,11000
2020,100300
2020,600
2020,6000
2020,0
2020,0
2020,1800
2020,0
2020,8800
2020,0
2020,5000
2020,800
2020,3000
2020,400
2020,91300
2020,20900
2020,0
2020,20800
2020,47500
2020,0
2020,142700
2020,172800
2020,0
2020,0
2020,10500
2020,1200
2020,0
2020,7400
2020,9800
2020,31400
2020,2000
2020,1100
2020,6946.17
2020,7100
2020,127400
2020,451000
2020,658900
2020,1554100
2020,0
2020,7700
2020,7000
2020,23800
2020,7300
2020,0
2020,0
2020,20700
2020,500
2020,1300
2020,100
2020,2000
2020,3700
2020,17000
2020,600
2020,100
2020,0
2020,3900
2020,200
2020,2000
2020,17300
2020,2000
2020,4700
2020,100
2020,500
2020,300
2020,100
2020,0
2020,0
2020,3000
2020,400
2020,2000
2020,300
2020,4400
2020,0
2020,500
2020,2000
2020,6700
2020,0
2020,0
2020,100
2020,14400
2020,0
2020,0
2020,0
2020,2200
2020,0
2020,0
2020,10000
2020,5200
2020,30800
2020,200
2020,105500
2020,51900
2020,3300
2020,0
2020,0
2020,8800
2020,400
2020,0
2020,12900
2020,72900
2020,0
2020,0
2020,562900
2020,261100
2020,370000
2020,0
2020,2600
2020,0
2020,0
2020,1000
2020,200
2020,4000
2020,1100
2020,162000
2020,20000
2020,0
2020,1800
2020,100
2020,1000
2020,4000
2020,0
2020,0
2020,41800
2020,25300
2020,0
2020,26200
2020,98900
2020,57500
2020,0
2020,49700
2020,555800
2020,202300
2020,0
2020,0
2020,0
2020,4000
2020,0
2020,0
2020,800
2020,41000
2020,300
2020,0
2020,0
2020,7500
2020,0
2020,512000
2020,459300
2020,0
2020,0
2020,0
2020,0
2020,0
2020,17500
2020,118200
2020,242300
2020,2600
2020,0
2020,4300
2020,139800
2020,300
2020,200
2020,400
2020,1000
2020,614800
2020,5400
2020,5000
2020,0
2020,0
2020,0
2020,5700
2020,0
2020,11000
2020,300
2020,0
2020,0
2020,700
2020,200
2020,2500
2020,11500
2020,4800
2020,0
2020,10800
2020,0
2020,0
2020,8600
2020,1700
2020,1000
2020,25000
2020,0
2020,135400
2020,0
2020,5000
2020,300
2020,0
2020,1106500
2020,0
2020,1000
2020,1000
2020,200
2020,4000
2020,5500
2020,3000
2020,4200
2020,200
2020,1600
2020,4400
2020,500
2020,1100
2020,249900
2020,12100
2020,0
2020,2600
2020,27900
2020,1500
2020,2200
2020,200
2020,0
2020,1300
2020,0
2020,0
2020,71800
2020,2200
2020,300
2020,100
2020,258900
2020,1800
2020,2200
2020,0
2020,27700
2020,3100
2020,11000
2020,69500
2020,0
2020,35800
2020,5200
2020,2200
2020,4200
2020,0
2020,25000
2020,3400
2020,59600
2020,3400
2020,0
2020,0
2020,0
2020,1200
2020,31700
2020,2400
2020,0
2020,490900
2020,111900
2020,5000
2020,0
2020,0
2020,0
2020,2000
2020,500
2020,5400
2020,3000
2020,3300
2020,100000
2020,500
2020,500
2020,1400
2020,500
2020,2200
2020,300
2020,3135500
2020,0
2020,7700
2020,193900
2020,11900
2020,17500
2020,20000
2020,0
2020,16600
2020,7200
2020,1000
2020,300
2020,9000
2020,3000
2020,6000
2020,4700
2020,700
2020,0
2020,11400
2020,88700
2020,0
2020,0
2020,0
2020,0
2020,3200
2020,4500
2020,0
2020,200
2020,300
2020,1200
2020,629600
2020,174100
2020,0
2020,1000
2020,7700
2020,35000
2020,3600
2020,0
2020,12800
2020,1441900
2020,65800
2020,0
2020,0
2020,0
2020,0
2020,35400
2020,500
2020,39500
2020,200
2020,15700
2020,500
2020,64000
2020,22200
2020,4300
2020,20600
2020,63400
2020,192800
2020,5100
2020,10300
2020,9200
2020,0
2020,186700
2020,11333800
2020,657300
2020,0
2020,11135100
2020,0
2020,0
2020,17200
2020,3400
2020,0
2020,0
2020,0
2020,0
2020,800
2020,100
2020,0
2020,4000
2020,3000
2020,0
2020,20000
2020,0
2020,1700
2020,0
2020,0
2020,93600
2020,256300
2020,15600
2020,1300
2020,11500
2020,800
2020,0
2020,200
2020,1500
2020,25000
2020,0
2020,4600
2020,0
2020,0
2020,500
2020,75000
2020,0
2020,16500
2020,300
2020,8000
2020,400
2020,100
2020,0
2020,500
2020,5500
2020,5200
2020,300
2020,39000
2020,800
2020,0
2020,20000
2020,0
2020,12000
2020,0
2020,0
2020,5000
2020,13158.849999999999
2020,17000
2020,0
2020,0
2020,2500
2020,269300
2020,593000
2020,0
2020,13500
2020,0
2020,50300
2020,2600
2020,800
2020,0
2020,11500
2020,52800
2020,0
2020,120100
2020,0
2020,484800
2020,455000
2020,0
2020,6600
2020,0
2020,1500
2020,634000
2020,12600
2020,7700
2020,82100
2020,0
2020,-771400
2020,313000
2020,649500
2020,3849100
2020,700
2020,33300
2020,8500
2020,80000
2020,100
2020,900
2020,0
2020,101500
2020,800
2020,5000
2020,116600
2020,0
2020,0
2020,600
2020,100000
2020,0
2020,1700
2020,0
2020,1300
2020,202400
2020,0
2020,0
2020,600000
2020,0
2020,3000
2020,3366000
2020,5100
2020,490000
2020,0
2020,0
2020,800
2020,3000
2020,20000
2020,800
2020,400
2020,3200
2020,3200
2020,300
2020,310000
2020,0
2020,183200
2020,0
2020,0
2020,0
2020,0
2020,0
2020,484500
2020,1273500
2020,8700
2020,6300
2020,37400
2020,46200
2020,0
2020,0
2020,0
2020,5907600
2020,0
2020,200
2020,0
2020,2100
2020,109400
2020,346200
2020,11200
2020,26700
2020,85000
2020,5700
2020,0
2020,105000
2020,15716700
2020,741300
2020,0
2020,4500
2020,0
2020,2700
2020,200
2020,0
2020,522500
2020,175300
2020,322500
2020,0
2020,369900
2020,301700
2020,0
2020,15800
2020,0
2020,0
2020,50200
2020,1492300
2020,48400
2020,700
2020,166000
2020,0
2020,9600
2020,0
2020,0
2020,0
2020,430100
2020,0
2020,0
2020,0
2020,1200
2020,18400
2020,13500
2020,41500
2020,60000
2020,100
2020,3700
2020,300
2020,1400
2020,700
2020,900
2020,500
2020,200
2020,2100
2020,1200
2020,0
2020,900
2020,200
2020,600
2020,400
2020,200
2020,2000
2020,5000
2020,100
2020,0
2020,147000
2020,8800
2020,0
2020,361700
2020,20000
2020,0
2020,1754900
2020,0
2020,3000
2020,0
2020,0
2020,42400
2020,59900
2020,8000
2020,172600
2020,0
2020,0
2020,83100
2020,4497700
2020,0
2020,70100
2020,200
2020,0
2020,0
2020,0
2020,22100
2020,52000
2020,194400
2020,9836800
2020,4571800
2020,4765700
2020,19559200
2020,0
2020,-3951000
2020,-923700
2020,7047300
2020,1476900
2020,6404100
2020,1149500
2020,163900
2020,5500
2020,0
2020,0
2020,387600
2020,0
2020,12500
2020,0
2020,0
2020,1951900
2020,31700
2020,0
2020,200
2020,21200
2020,300
2020,500
2020,1500
2020,500
2020,0
2020,14100
2020,27600
2020,7700
2020,0
2020,0
2020,78500
2020,0
2020,15900
2020,874500
2020,200
2020,0
2020,4800
2020,35000
2020,0
2020,100
2020,4161800
2020,900
2020,800
2020,800
2020,100
2020,2298900
2020,2200
2020,0
2020,5000
2020,0
2020,33100
2020,0
2020,11800
2020,18600
2020,0
2020,0
2020,287300
2020,0
2020,812700
2020,23000
2020,0
2020,52900
2020,2000
2020,0
2020,313000
2020,1100
2020,0
2020,3145500
2020,2500
2020,4000
2020,1500
2020,0
2020,0
2020,53000
2020,1000
2020,400
2020,1900
2020,13200
2020,2900
2020,1052700
2020,9000
2020,100
2020,1000
2020,4000
2020,22500
2020,0
2020,1000
2020,0
2020,0
2020,2600
2020,0
2020,0
2020,33900
2020,0
2020,0
2020,139800
2020,5300
2020,0
2020,500
2020,80600
2020,35200
2020,6000
2020,0
2020,0
2020,80000
2020,200
2020,0
2020,6000
2020,337700
2020,36800
2020,13500
2020,0
2020,4500
2020,25000
2020,0
2020,10600
2020,6300
2020,12700
2020,170400
2020,2611800
2020,372500
2020,0
2020,15400
2020,4294900
2020,0
2020,400
2020,6792800
2020,700
2020,3000
2020,8700
2020,0
2020,300
2020,8800
2020,914000
2020,1400800
2020,0
2020,0
2020,19100
2020,20300
2020,900
2020,100
2020,8242.56
2020,22400
2020,200
2020,2200
2020,8800
2020,22400
2020,400
2020,1200
2020,4200
2020,200
2020,0
2020,2500
2020,100
2020,4400
2020,1100
2020,20900
2020,0
2020,0
2020,0
2020,2600
2020,47500
2020,0
2020,0
2020,13300
2020,224800
2020,0
2020,0
2020,0
2020,12000
2020,0
2020,33000
2020,45500
2020,1300
2020,12500
2020,28200
2020,355900
2020,400
2020,2600
2020,1000
2020,20900
2020,0
2020,600
2020,1600
2020,195600
2020,3200
2020,700
2020,0
2020,1770600
2020,300
2020,200
2020,137800
2020,97300
2020,0
2020,844800
2020,35100
2020,100
2020,1100
2020,8600
2020,88000
2020,5000
2020,0
2020,300
2020,1500
2020,500
2020,2400
2020,2200
2020,1700
2020,2300
2020,300
2020,1000
2020,200
2020,800
2020,7000
2020,100
2020,61.06
2020,0
2020,100
2020,335100
2020,50700
2020,0
2020,873200
2020,115000
2020,0
2020,4559900
2020,385900
2020,0
2020,0
2020,47000
2020,600
2020,2200
2020,500
2020,2600
2020,500
2020,0
2020,0
2020,0
2020,0
2020,0
2020,1000
2020,1000
2020,10400
2020,0
2020,341500
2020,36155100
2020,567100
2020,2818000
2020,200
2020,0
2020,400
2020,1000
2020,0
